YEAR,ABBV,ABM,ABT,ACU,ADBE,ADM,ADP,ADSK,ADTN,AEE,AEP,AES,AFL,AIG,AIZ,AKAM,ALK,AMAT,AMD,AMGN,AMP,AMT,ANET,ANF,APD,APH,AVA,AVB,AVNW,AVT,AVY,AWK,AXL,AXP,AXTA,BAH,BDX,BEN,BGC,BIIB,BMY,BSX,BWA,CAG,CASS,CBT,CCK,CEG,CHD,CHRW,CINF,CLF,CMS,CNP,CNX,COF,COIN,COP,COST,CPB,CRM,CSCO,CSL,CSX,CTSH,CVS,CVX,CWST,CZR,DELL,DGX,DOCU,DOV,DOW,DRI,DTE,DUK,DVA,EBAY,ECL,EMN,EMR,EOG,EQIX,ETN,EXPD,F,FARM,FDX,FITB,FLEX,FLR,FLS,FMC,FNF,FSLR,FUL,GILD,GLW,GME,GNTX,GNW,GSIT,GWW,HAIN,HAL,HASI,HBAN,HBI,HES,HHS,HIG,HNI,HOLX,HON,HPE,HPQ,HRL,HSY,HUBG,HUM,IBM,ICFI,INGR,INTC,INTU,IQV,ITRI,IVZ,JBHT,JBL,JCI,JLL,JNJ,JNPR,JPM,KBH,KEX,KEYS,KHC,KIM,KLAC,KMB,KODK,KOP,KSS,LDOS,LII,LRCX,LUV,LYB,MAS,MCD,MCHP,MCK,MDLZ,MGM,MHK,MIR,MKL,MLNK,MMM,MRVL,MSFT,MTRX,NDAQ,NEM,NKE,NNBR,NTAP,NTGR,NVDA,NWL,ODP,OMC,ORCL,OXY,PCAR,PCG,PFE,PFG,PGR,PMTS,PNW,PPG,PRU,PVH,QCOM,REGN,S,SANM,SBUX,SCHW,SJM,SMA,SNPS,SPWR,STZ,SWK,SYK,TGT,TILE,TJX,TNC,TRMB,TROW,TRV,TTEC,UBER,UNFI,UPS
2010,,,35167.0,42.0,3800.0,,8003.0,1714.0,606.0,7638.0,14427.0,10572.0,20732.0,72829.0,8528.0,1024.0,3832.0,9549.0,6494.0,15053.0,9582.0,1985.0,,,8616.0,3554.0,1559.0,,466.0,19160.0,5953.0,2555.0,2283.0,10432.0,,5123.0,7124.0,5853.0,,4716.0,19484.0,7806.0,,12079.0,,2716.0,7941.0,,2589.0,,3772.0,4484.0,6432.0,8785.0,5236.0,,,59775.0,,7676.0,1306.0,,2528.0,10636.0,4592.0,95778.0,204928.0,,,,7260.0,,6110.0,,7113.0,8525.0,14272.0,,9156.0,6090.0,3862.0,21039.0,6100.0,,13715.0,5968.0,5968.0,450.0,34734.0,3828.0,24111.0,20849.0,4032.0,3116.0,5413.0,2564.0,1257.0,7949.0,6632.0,9078.0,816.0,,68.0,7182.0,890.0,17973.0,,1738.0,3891.0,,821.0,,1623.0,,32350.0,,,7221.0,5671.0,1834.0,33596.0,99870.0,765.0,4367.0,43623.0,3403.0,,2259.0,3488.0,3793.0,13409.0,11020.0,2926.0,61897.0,4093.0,102694.0,1590.0,1110.0,,,827.0,1821.0,19746.0,5993.0,1191.0,17178.0,,2585.0,,12104.0,,7486.0,24075.0,948.0,108702.0,31489.0,6056.0,5319.0,,2225.0,,26662.0,,,551.0,3191.0,9540.0,19014.0,365.0,3931.0,902.0,3326.0,5658.0,11633.0,12543.0,14555.0,19045.0,,13841.0,65165.0,9198.0,,,3189.0,13423.0,38217.0,,10982.0,459.0,459.0,6319.0,10707.0,4248.0,4605.0,,1381.0,,4213.0,3737.0,7320.0,64396.0,860.0,,668.0,1294.0,1185.0,25112.0,1095.0,,3757.0,49545.0
2011,17444.0,,38851.0,49.0,4216.0,,8843.0,1952.0,717.0,7531.0,15116.0,11638.0,22171.0,59812.0,8273.0,1159.0,4318.0,10517.0,6568.0,15582.0,10239.0,2444.0,,3469.0,9674.0,3940.0,1620.0,,452.0,26534.0,6026.0,2666.0,2585.0,10839.0,,5591.0,7584.0,7140.0,,5049.0,21244.0,7622.0,,12386.0,,3102.0,8644.0,,2749.0,,3803.0,6564.0,6503.0,8450.0,6117.0,,,65133.0,,7719.0,1657.0,,3225.0,11743.0,6121.0,107100.0,253706.0,,,,7392.0,,7369.0,,7500.0,8858.0,14529.0,,11652.0,6799.0,4760.0,24222.0,10126.0,,16049.0,6151.0,6151.0,464.0,39304.0,3612.0,28443.0,23381.0,4510.0,3378.0,4840.0,2766.0,1444.0,8385.0,7890.0,9474.0,1024.0,,98.0,8078.0,1109.0,24829.0,,1638.0,4434.0,,812.0,,1833.0,,36529.0,,,7895.0,6081.0,2752.0,36832.0,106916.0,841.0,6219.0,53999.0,3772.0,,2434.0,4092.0,4527.0,16519.0,10557.0,3585.0,61587.0,4449.0,97234.0,1316.0,1850.0,,,861.0,3175.0,20846.0,5148.0,1466.0,18391.0,,2841.0,,15658.0,,7467.0,27006.0,1487.0,112084.0,35810.0,7849.0,5642.0,,2630.0,,29611.0,,,627.0,3430.0,10358.0,20117.0,425.0,5123.0,1181.0,3543.0,5865.0,11490.0,13873.0,35622.0,23939.0,,14956.0,65259.0,8671.0,,,3241.0,14885.0,49030.0,,14957.0,446.0,446.0,6602.0,11700.0,4691.0,3195.0,,1536.0,,4097.0,9436.0,8307.0,66588.0,862.0,,754.0,1644.0,1375.0,25446.0,1179.0,,4530.0,53105.0
2012,18380.0,,39874.0,56.0,4404.0,,9538.0,2216.0,621.0,6828.0,14945.0,12528.0,25364.0,65656.0,8508.0,1374.0,4657.0,8719.0,5422.0,17265.0,10259.0,2876.0,193.0,4158.0,9612.0,4292.0,1547.0,,444.0,25708.0,6036.0,2877.0,2931.0,11323.0,,5859.0,7708.0,7101.0,,5516.0,17621.0,7249.0,,13368.0,,3300.0,8470.0,,2922.0,,4111.0,5873.0,6253.0,7452.0,5430.0,,,59986.0,,7707.0,2267.0,,3629.0,11756.0,7346.0,123133.0,241909.0,,276.0,,7383.0,,8104.0,,7999.0,8791.0,19624.0,,14072.0,11839.0,5354.0,24412.0,11683.0,,16311.0,5981.0,5981.0,495.0,42680.0,3702.0,29343.0,27577.0,4751.0,3748.0,7202.0,3369.0,1886.0,9703.0,8012.0,9551.0,1100.0,,83.0,8950.0,1378.0,28503.0,,1667.0,4526.0,,581.0,,2004.0,,37665.0,,,8231.0,6644.0,3124.0,39126.0,104507.0,937.0,6532.0,53341.0,4151.0,,2178.0,4177.0,5055.0,17152.0,10403.0,3933.0,67224.0,4365.0,97031.0,1560.0,2113.0,,,922.0,3172.0,21063.0,4114.0,1555.0,18804.0,,2949.0,,17088.0,,7745.0,27567.0,1383.0,122734.0,35015.0,9161.0,5788.0,,3000.0,,29904.0,,,739.0,3119.0,9868.0,23331.0,370.0,6233.0,1272.0,3998.0,5903.0,10696.0,14219.0,37121.0,24172.0,,15040.0,58986.0,9215.0,,,3302.0,15200.0,84815.0,,19121.0,1378.0,1378.0,6093.0,13300.0,4883.0,3657.0,,1756.0,,2979.0,10191.0,8657.0,69166.0,932.0,,739.0,2040.0,1512.0,25740.0,1163.0,,5236.0,54127.0
2013,18790.0,4428.0,19657.0,60.0,4055.0,89804.0,8251.0,2312.0,642.0,5838.0,14814.0,11102.0,23939.0,68874.0,9048.0,1578.0,5156.0,7509.0,5299.0,18676.0,11230.0,3361.0,361.0,4511.0,10180.0,4615.0,1442.0,1463.0,471.0,25459.0,6140.0,2879.0,3207.0,11720.0,,5758.0,8054.0,7985.0,,6932.0,16385.0,7143.0,,15491.0,,3456.0,8656.0,,3194.0,12752.0,4531.0,3891.0,6566.0,8106.0,3300.0,15545.0,,56331.0,104013.0,8052.0,3050.0,48607.0,2943.0,12026.0,8843.0,126761.0,228848.0,,247.0,,7146.0,,7155.0,,8552.0,9661.0,22756.0,9362.0,8257.0,13253.0,6173.0,24669.0,14487.0,2153.0,22046.0,6080.0,6080.0,514.0,44287.0,3684.0,23569.0,27352.0,4955.0,3131.0,7440.0,3310.0,2047.0,11202.0,7819.0,8887.0,1172.0,,66.0,9438.0,1735.0,29402.0,,1610.0,4628.0,14028.0,560.0,,2060.0,2492.0,39055.0,57371.0,,8752.0,7146.0,3374.0,41313.0,98367.0,949.0,6328.0,52708.0,3946.0,5100.0,1938.0,4645.0,5585.0,17249.0,10058.0,4462.0,71312.0,4669.0,50272.0,2097.0,2242.0,2888.0,,862.0,2843.0,19561.0,,1478.0,19279.0,,3199.0,3599.0,17699.0,44062.0,6761.0,28106.0,1582.0,122455.0,35299.0,9810.0,7349.0,,4323.0,,30871.0,,77849.0,893.0,3211.0,8414.0,25313.0,373.0,6332.0,1370.0,4280.0,5607.0,11242.0,14585.0,37180.0,20170.0,,15598.0,51584.0,9290.0,,196.0,3455.0,14265.0,41461.0,,24866.0,2105.0,2105.0,5917.0,14867.0,5435.0,3901.0,,1962.0,,3171.0,10890.0,9021.0,72631.0,960.0,,752.0,2164.0,1742.0,26191.0,1193.0,,6064.0,55438.0
2014,19960.0,4650.0,20247.0,71.0,4147.0,81201.0,8911.0,2274.0,630.0,6053.0,16379.0,11942.0,22728.0,64406.0,10382.0,1964.0,5368.0,9072.0,5506.0,20063.0,12296.0,4100.0,584.0,4117.0,10439.0,5346.0,1473.0,1685.0,346.0,27500.0,6235.0,3011.0,3696.0,12137.0,,5479.0,8446.0,8491.0,,9703.0,15879.0,7380.0,,7766.0,,3647.0,9097.0,,3298.0,13470.0,4945.0,3373.0,7179.0,9226.0,3727.0,15271.0,,54021.0,111426.0,8268.0,2796.0,47142.0,3204.0,12669.0,10263.0,139367.0,211970.0,,362.0,,7435.0,,7753.0,,6286.0,12301.0,23925.0,10055.0,8790.0,14281.0,6289.0,24537.0,18035.0,2444.0,22552.0,6565.0,6565.0,528.0,45567.0,3528.0,26109.0,21532.0,4878.0,3259.0,8024.0,3391.0,2104.0,24890.0,9715.0,9040.0,1376.0,,59.0,9965.0,2154.0,32870.0,,1692.0,4976.5,11439.0,499.0,,2141.5,2531.0,40306.0,55123.0,,9316.0,7422.0,3571.0,48500.0,92793.0,1050.0,5668.0,55870.0,4243.0,5460.0,1948.0,5147.0,6165.0,15762.0,10332.0,5430.0,74331.0,4627.0,49192.0,2401.0,2566.0,2933.0,,994.0,2929.0,19724.0,,1555.0,19031.0,,3367.0,4607.0,18605.0,45608.0,7006.0,27441.0,1931.0,137392.0,34244.0,10082.0,7803.0,,5134.0,,31821.0,,86833.0,1263.0,3500.0,7292.0,27799.0,489.0,6325.0,1394.0,4130.0,5727.0,16096.0,15318.0,38275.0,19312.0,,17090.0,49605.0,10478.0,,261.0,3492.0,15360.0,54105.0,8186.0,26487.0,2820.0,2820.0,6215.0,16448.0,6058.0,3714.0,0.0,2057.0,,5411.0,11114.5,9675.0,71279.0,1004.0,,822.0,2288.0,1991.0,27162.0,1242.0,,6794.0,58232.0
2015,22859.0,4898.0,20405.0,73.0,4796.0,67702.0,9433.0,2512.0,600.0,6098.0,16453.0,10438.0,20872.0,58327.0,10325.0,2197.0,5598.0,9659.0,3991.0,21662.0,12200.0,4772.0,838.0,3744.0,9895.0,5569.0,1485.0,1856.0,336.0,27925.0,6330.0,3159.0,3903.0,11977.0,,5275.0,10282.0,7949.0,,10764.0,16560.0,7477.0,,7848.0,,2871.0,8762.0,,3395.0,13476.0,5142.0,2013.0,6456.0,7386.0,3114.0,16083.0,,30250.0,114933.0,8082.0,3702.0,49161.0,3543.0,11811.0,12416.0,153290.0,138477.0,547.0,720.0,54142.0,7493.0,,6956.0,,6764.0,10337.0,23459.0,10772.0,8592.0,13545.0,6344.0,22304.0,8757.0,2726.0,20855.0,6617.0,6617.0,546.0,47453.0,3648.0,26148.0,18114.0,4561.0,3277.0,9132.0,3579.0,2084.0,32639.0,9111.0,9296.0,1544.0,,54.0,9973.0,2689.0,23633.0,,1805.0,5325.0,6561.0,444.0,,2223.0,2705.0,38581.0,52107.0,,9264.0,7387.0,3526.0,54289.0,81741.0,1132.0,5621.0,55355.0,4192.0,5738.0,1884.0,5123.0,6188.0,17899.0,9902.0,5966.0,72202.5,4858.0,48459.0,3032.0,2148.0,2856.0,,1167.0,2814.0,18591.0,,1627.0,19023.0,,3467.0,5259.0,19820.0,32735.0,7142.0,25413.0,2147.0,179045.0,29636.0,9190.0,8072.0,,5370.0,,30274.0,,93580.0,1343.0,3403.0,7729.0,30601.0,667.0,6123.0,1301.0,4682.0,5916.0,14485.0,15134.0,38226.0,12480.0,,16833.0,48851.0,11964.0,,374.0,3495.0,15330.0,57119.0,8241.0,25281.0,4104.0,4104.0,6375.0,19163.0,6380.0,3769.0,18.0,2242.0,,6672.0,11339.0,9946.0,72618.0,1003.0,,812.0,2396.0,2100.0,26800.0,1287.0,,8185.0,58363.0
2016,25638.0,5145.0,20853.0,83.0,5854.0,62346.0,9951.0,2504.0,637.0,6076.0,16380.0,10281.0,22559.0,52367.0,7532.0,2348.0,5925.0,10825.0,4319.0,22991.0,11839.0,5786.0,1129.0,3519.0,7504.0,6286.0,1442.0,1025.0,269.0,16741.0,6087.0,3302.0,3948.0,17169.0,4081.0,5406.0,12483.0,6618.0,1554.0,11449.0,19427.0,8386.0,,7663.0,,2411.0,8284.0,,3493.0,13144.0,5449.0,1467.0,6399.0,7528.0,760.0,17821.0,,24027.0,118719.0,7961.0,4599.0,49247.0,3425.0,11069.0,13487.0,177536.0,112344.0,565.0,900.0,50911.0,7214.0,,6043.0,,6934.0,10630.0,22743.0,10217.0,9298.0,13152.0,9008.0,14522.0,7651.0,3612.0,19747.0,6098.0,6098.0,544.0,50365.0,558.0,24419.0,19037.0,3990.0,2539.0,7257.0,2905.0,2095.0,30390.0,9390.0,9364.0,1679.0,8369.0,53.0,10137.0,2393.0,15887.0,81.0,2196.0,6028.0,4839.0,404.0,16291.0,2203.0,2833.0,39302.0,30280.0,48238.0,9523.0,7440.0,2750.0,27674.0,79919.0,1185.0,5704.0,59387.0,4694.0,6815.0,2013.0,4734.0,6555.0,18353.0,,12991.0,70074.0,4990.0,49928.0,3595.0,1771.0,2918.0,26300.0,1171.0,2984.0,18287.0,,1416.0,19204.0,7043.0,3642.0,5886.0,20289.0,28819.0,7361.0,24622.0,2173.0,190884.0,25923.0,9478.0,8959.0,,5612.0,,30109.0,,91154.0,1312.0,3704.0,6680.0,32376.0,585.0,5546.0,1143.0,5010.0,9181.0,11021.0,15417.0,37047.0,10090.0,17033.0,17666.0,52824.0,12394.0,23441.0,309.0,3499.0,14270.0,58779.0,8020.0,23554.0,4860.0,4860.0,6481.0,21316.0,7478.0,5150.0,45.0,2423.0,,7224.0,11594.0,11325.0,73785.0,1002.0,,809.0,2362.0,4285.0,27625.0,1275.0,,8470.0,61610.0
